,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
952,ILLICO PIZZA,8 RUE BERTHOLLET,91710,VERT LE PETIT,16061046,2021-06-29T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.541604,2.366251
959,AUX DELICES D'AURICA ET FRANCOIS (AUX DELICES D'AURICA ET FRANCOIS),30 RUE DE LA LIBERATION,91680,BRUYERES LE CHATEL,16007637,2021-05-18T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.593465,2.191839
960,THAI FOOD FUSION (ID LAB),4 place des Fédérés,91000,EVRY COURCOURONNES,15990850,2021-05-03T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.619571,2.445131
961,VINVIN,9 RUE DE LA FERTE ALAIS,91720,MAISSE,16187425,2021-10-05T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.394521,2.375704
976,O C T - TRADITION,11 MAIL PIERRE POTIER,91190,GIF SUR YVETTE,16055543,2021-06-24T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.711055,2.163662
987,GRAINE D'ARTISTE EVRY 2,2 BD DE L'EUROPE,91000,EVRY COURCOURONNES,16072406,2021-07-05T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.636027,2.41352
1010,MILLES DELICES,104 RUE BERLIOZ,91240,SAINT MICHEL SUR ORGE,16214761,2021-10-26T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.636346,2.321267
1028,PIZZA EXPRESS,9 B RUE GRANDE,91510,LARDY,16205377,2021-10-19T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.51791,2.261098
1053,LE KIN DI THAI,5 AV SAINT SAENS,91240,SAINT MICHEL SUR ORGE,16028964,2021-06-07T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.635845,2.319089
1068,MAISON DUCHEMIN (ARPATISS),61 GRANDE RUE,91290,ARPAJON,16060777,2021-06-29T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.589908,2.248628
1081,BOULANGERIE DE LA MAIRIE,15 RUE DES PROCESSIONS,91240,SAINT MICHEL SUR ORGE,16007909,2021-05-20T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.629799,2.303255
1120,LA BOULANG' DE SOISY,RUE DE L'ERMITAGE,91450,SOISY SUR SEINE,16223683,2021-11-03T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.652558,2.455918
1122,SUSHI SAKURA / TACOS BD (RJS),7 PL DE L'EGLISE,91850,BOURAY SUR JUINE,16187341,2021-10-05T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.520436,2.297929
1153,EPI DE L'ORGE,4 VOIE DU MORT RU,91310,LONGPONT SUR ORGE,16068100,2021-07-02T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.652431,2.275542
