,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
91,EL FTAH,48 AVENUE DU PRESIDENT KENNEDY,60800,Crépy-en-Valois,21-041194-1,2021-05-26T02:00:00+02:00,Commerce alimentaire,Satisfaisant,,,49.226375,2.8832470000000003
92,BOULANGERIE PATISSERIE SAINT HONORE,16 RUE DU CHATEAU,60130,Bulles,21-081685-1,2021-10-06T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.46021,2.326493
93,EPICERIE DU VILLAGE AKWABA,32 RUE CHARLES DE GAULLE,60460,Précy-sur-Oise,22-008763-1,2022-02-01T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.206829,2.3699220000000003
94,MARCELINE EXOTIC,43 RUE DE LA TAPISSERIE,60000,Beauvais,21-048220-1,2021-06-15T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.427458,2.0836360000000003
95,HS GO,27 AV PASTEUR,60800,Crépy-en-Valois,20-095761-1,2021-04-01T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.229422,2.893303
96,PIZZA CROUSTY,11 RUE DORNAT,60220,Formerie,20-096015-1,2021-04-21T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.649592999999996,1.732034
97,LA POPOTE,16 B RUE SAINT JEAN,60350,Vieux-Moulin,22-009281-1,2022-01-28T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.392047,2.932474
98,LA MAIN DE FATMA,25 RUE DU VINGT SEPT JUIN,60000,Beauvais,22-008818-1,2022-02-01T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.434214000000004,2.086839
99,PIZZA ROMA,21 PL DU 11 NOVEMBRE,60510,Bresles,21-048089-1,2021-06-17T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.408435,2.249849
100,PIZZA DELICE,54 RUE PASTEUR,60540,Bornel,21-059895-1,2021-07-22T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.196697,2.206555
101,PECHON MORGAN,21 RUE DE PARIS,60190,Gournay-sur-Aronde,22-016130-1,2022-03-04T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.49175,2.67437
102,SYND REGROUP PEDAGOGIQUE CONCENTRE  BACOUEL TARTIGNY LE MESNIL-ST-FIRMIN ROCQUENCOURT SERIVILLERS BROYES PLAINVILLE,1 RUE DE LA GARE,60120,Bacouël,22-009162-1,2022-01-17T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,49.623573,2.384258
103,PAUSE CAFE,4 BD SAINT ANDRE,60000,Beauvais,21-103344-1,2021-12-14T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.433059,2.089971
104,ROBERT JEAN,64 RUE DE L ABBAYE,60600,Agnetz,22-010522-1,2022-02-10T01:00:00+01:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,49.398911,2.386747
105,AUCHAN HYPERMARCHE,RUE MARCEL COQUET,60110,Méru,22-010703-1,2022-02-10T01:00:00+01:00,Rayon poissonnerie,Satisfaisant,,Rayon poissonnerie,49.224622,2.137069
106,SHISO SUSHI,79 RUE DU FG ST MARTIN,60300,Senlis,21-062938-1,2021-08-04T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.200252,2.580149
107,LE BOSPHORE D'ISTANBUL,326 RUE DE PARIS,60170,Ribécourt-Dreslincourt,22-010892-1,2022-02-14T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.508058,2.919969
108,EURL LE FRIOUL,EURL LE FRIOUL,60170,Ribécourt-Dreslincourt,22-010808-1,2022-02-14T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.516213,2.923003
109,KARS KEBAB,43 RUE DE LA REPUBLIQUE,60160,Montataire,22-010883-1,2022-02-08T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.256837,2.43287
110,AUCHAN HYPERMARCHE,RUE MARCEL COQUET,60110,Méru,22-010660-1,2022-02-10T01:00:00+01:00,Rayon boucherie-charcuterie,Très satisfaisant,,Rayon boucherie-charcuterie,49.224622,2.137069
111,AMEERA,45 PL ST MEDARD,60100,Creil,20-095748-1,2021-04-01T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.258753999999996,2.477414
112,FERME DU PRE SAS,La Fosse Mostelle,60590,Sérifontaine,21-062488-1,2021-08-03T02:00:00+02:00,Production d'œuf liquide d'ovoproduit et produits à base œuf,Très satisfaisant,60616001.0,,49.389029,1.7807990000000002
113,CHEZ BIBI,CHEZ BIBI,60160,Montataire,22-010616-1,2022-02-08T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,,
114,BOULANGERIE ANGE,RUE DE LA LIBERTE,60740,Saint-Maximin,22-010733-1,2022-02-08T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.242202,2.469522
115,PROMOCASH,PROMOCASH,60000,Beauvais,21-103989-1,2021-12-15T01:00:00+01:00,Entreposage de distribution de denrées alimentaires,Satisfaisant,60057002.0,,49.440124,2.0846259999999996
116,FOURNIER SYLVAIN,BOUCHERIE CHARCUTERIE SAINT LAZARE,60750,Choisy-au-Bac,22-012115-1,2022-02-18T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,49.437344,2.874422
117,SENNEUR JEAN,"24, rue Dornat",60220,Formerie,21-027105-1,2021-03-31T02:00:00+02:00,Traiteur|Boucherie-Charcuterie,Satisfaisant,,Traiteur|Boucherie-Charcuterie,49.649214,1.7327689999999998
118,PIZZA EL NAPOLI,8 RUE DU COMMERCE,60350,Attichy,22-012497-1,2022-02-21T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.411314000000004,3.048361
119,PAUSE CAFE BEAUVAIS,4 boulevard Saint André,60000,Beauvais,22-011782-1,2022-02-01T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.433059,2.089971
120,SUPERETTE CREIL,23 RUE ANTOINE CHANUT,60100,Creil,21-051628-1,2021-06-29T02:00:00+02:00,Libre service|Alimentation générale,Satisfaisant,,Libre service|Alimentation générale,49.26213,2.471308
121,JSP INTERNATIONAL,route de francières,60190,Estrées-Saint-Denis,21-051334-1,2021-06-07T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.428523999999996,2.651185
122,DELICE RANTIGNY,route de liancourt,60290,Rantigny,20-096751-1,2021-07-22T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.323787,2.446534
