titre,nationalité,sortie,entrées (millions)
"VOLT, STAR MALGRE LUI",ETATS UNIS,04/02/09,"2,88"
INGLOURIOUS BASTERDS,ETATS UNIS,19/08/09,"2,83"
TWILIGHT - CHAPITRE 1 : FASCINATION,ETATS UNIS,07/01/09,"2,79"
SLUMDOG MILLIONAIRE,GRANDE BRETAGNE,14/01/09,"2,70"
ETRANGE HISTOIRE DE BENJAMIN BUTTON (L'),ETATS UNIS,04/02/09,"2,61"
NEUILLY SA MERE !,FRANCE,12/08/09,"2,54"
OSS 117 RIO NE RÉPOND PLUS,FRANCE,15/04/09,"2,52"
TRANSFORMERS 2 LA REVANCHE,ETATS UNIS,24/06/09,"2,27"
ANGES & DEMONS,ETATS UNIS,13/05/09,"2,04"
VERY BAD TRIP,ETATS UNIS,24/06/09,"2,00"
SAFARI,FRANCE,01/04/09,"1,96"
X-MEN ORIGINS WOLVERINE,ETATS UNIS,29/04/09,"1,96"
LUCKY LUKE,FRANCE,21/10/09,"1,88"
DE L'AUTRE COTE DU LIT,FRANCE,07/01/09,"1,81"
FAST & FURIOUS 4,ETATS UNIS,08/04/09,"1,78"
PREMIÈRE ÉTOILE (LA),FRANCE,25/03/09,"1,65"
CODE A CHANGÉ (LE),FRANCE,18/02/09,"1,63"
NUIT AU MUSEE 2,ETATS UNIS,20/05/09,"1,63"
CONCERT (LE),FRANCE / BELGIQUE / ROUMANIE / ITALIE,04/11/09,"1,61"
PUBLIC ENEMIES,ETATS UNIS,08/07/09,"1,57"
TERMINATOR RENAISSANCE,ETATS UNIS,03/06/09,"1,55"
MICHAEL JACKSON'S THIS IS IT,ETATS UNIS,28/10/09,"1,55"
PREDICTIONS,AUSTRALIE,01/04/09,"1,40"
MISSION-G,ETATS UNIS,14/10/09,"1,37"
DROLE DE NOEL DE SCROOGE (LE),ETATS UNIS,25/11/09,"1,28"
MONSTRES CONTRE ALIENS,ETATS UNIS,01/04/09,"1,26"
MICMACS À TIRE-LARIGOT,FRANCE,28/10/09,"1,26"
INCOGNITO,FRANCE / BELGIQUE,29/04/09,"1,24"
WELCOME,FRANCE,11/03/09,"1,22"
MILLENIUM,SUEDE,13/05/09,"1,22"
UN PROPHÈTE,FRANCE / ITALIE,26/08/09,"1,22"
NOCES REBELLES (LES),ETATS UNIS,21/01/09,"1,14"
DESTINATION FINALE 4,ETATS UNIS,26/08/09,"1,11"
DISTRICT 9,ETATS UNIS,16/09/09,"1,11"
SEPT VIES,ETATS UNIS,14/01/09,"1,11"
BANLIEUE 13 - ULTIMATUM,FRANCE,18/02/09,"1,10"
PARANORMAL ACTIVITY,ETATS UNIS,02/12/09,"1,05"
COCO AVANT CHANEL,FRANCE,22/04/09,"1,04"
17 ANS ENCORE,ETATS UNIS,22/04/09,"1,01"
AVATAR,ETATS UNIS,16/12/09,"8,47"
HARRY POTTER ET LES RELIQUES DE LA MORT (1ÈRE PARTIE),GRANDE BRETAGNE,24/11/10,"5,51"
PETITS MOUCHOIRS (LES),FRANCE,20/10/10,"5,33"
INCEPTION,GRANDE BRETAGNE,21/07/10,"4,94"
"SHREK 4, IL ÉTAIT UNE FIN",ETATS UNIS,30/06/10,"4,63"
ALICE AU PAYS DES MERVEILLES,ETATS UNIS,24/03/10,"4,43"
TOY STORY 3,ETATS UNIS,14/07/10,"4,26"
CAMPING 2,FRANCE,21/04/10,"3,98"
TWILIGHT - CHAPITRE 3 : HESITATION,ETATS UNIS,07/07/10,"3,94"
ARNACOEUR (L'),FRANCE,17/03/10,"3,78"
PRINCESSE ET LA GRENOUILLE (LA),ETATS UNIS,27/01/10,"3,66"
RAIPONCE,ETATS UNIS,01/12/10,"3,17"
INVICTUS,ETATS UNIS,13/01/10,"3,17"
DES HOMMES ET DES DIEUX,FRANCE,08/09/10,"3,14"
SHUTTER ISLAND,ETATS UNIS,24/02/10,"3,11"
ARTHUR 3 ET LA GUERRE DES DEUX MONDES,FRANCE,13/10/10,"3,10"
"MOI, MOCHE ET MECHANT",ETATS UNIS,06/10/10,"3,01"
RAFLE (LA),FRANCE / ALLEMAGNE / HONGRIE,10/03/10,"2,88"
OCÉANS,FRANCE,27/01/10,"2,86"
IRON MAN 2,ETATS UNIS,28/04/10,"2,58"
ROBIN DES BOIS,GRANDE BRETAGNE,12/05/10,"2,39"
MONDE DE NARNIA - CHAPITRE 3 - L'ODYSSEE DU PASSEUR D'AURORE (LE),ETATS UNIS,08/12/10,"2,33"
DRAGONS,ETATS UNIS,31/03/10,"2,32"
POTICHE,FRANCE / BELGIQUE,10/11/10,"2,25"
SHERLOCK HOLMES,GRANDE BRETAGNE,03/02/10,"2,15"
PRINCE OF PERSIA : LES SABLES DU TEMPS,ETATS UNIS,26/05/10,"2,11"
CHOC DES TITANS (LE),GRANDE BRETAGNE,07/04/10,"1,87"
NIGHT AND DAY,ETATS UNIS,28/07/10,"1,76"
APPRENTI SORCIER (L'),ETATS UNIS,11/08/10,"1,66"
EXPENDABLES : UNITE SPECIALE,ETATS UNIS,18/08/10,"1,65"
AVENTURES EXTRAORDINAIRES D'ADELE BLANC-SEC (LES),FRANCE,14/04/10,"1,63"
SALT,ETATS UNIS,25/08/10,"1,47"
MAC (LE),FRANCE,17/02/10,"1,46"
THE SOCIAL NETWORK,ETATS UNIS,13/10/10,"1,44"
TOUT CE QUI BRILLE,FRANCE,24/03/10,"1,42"
VOYAGE EXTRAORDINAIRE DE SAMY (LE),Belgique,11/08/10,"1,31"
SEX AND THE CITY 2,ETATS UNIS,02/06/10,"1,31"
THE KARATE KID,ETATS UNIS,18/08/10,"1,28"
TETE EN FRICHE (LA),FRANCE,02/06/10,"1,27"
PERCY JACKSON LE VOLEUR DE FOUDRE,ETATS UNIS,10/02/10,"1,23"
FATAL,CANADA  / FRANCE,16/06/10,"1,21"
GAINSBOURG (VIE HEROÏQUE),FRANCE,20/01/10,"1,20"
VALENTINE'S DAY,ETATS UNIS,17/02/10,"1,19"
AGENCE TOUS RISQUES (L'),ETATS UNIS,16/06/10,"1,19"
DERNIER MAITRE DE L'AIR (LE),ETATS UNIS,28/07/10,"1,18"
HOMME QUI VOULAIT VIVRE SA VIE (L'),FRANCE,03/11/10,"1,18"
IMMORTEL (L'),FRANCE,24/03/10,"1,13"
AMOUR C'EST MIEUX A DEUX (L') (EX L'HOMME QUI MURMURAIT A L'OREILLE DES FEMMES),FRANCE,05/05/10,"1,12"
ITALIEN (L'),FRANCE,14/07/10,"1,11"
THE TOWN,ETATS UNIS,15/09/10,"1,08"
THE GHOST WRITER,FRANCE / ALLEMAGNE / GRANDE BRETAGNE,03/03/10,"1,05"
