,APP_Libelle_etablissement,SIRET,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,geores,filtre,ods_type_activite,lat,lon
8603,CUISINE CENTRALE,21770285100221,67 SQUARE ALBERT SHWEITZER,77350,Boissettes,21-021352-1,2021-03-12T01:00:00+01:00,Restauration collective,Très satisfaisant,77285001,"48.542242,2.627824",Restauration collective,Autres,48.542242,2.627824
8630,BOUCHERIE DE LA FERME,82517445100013,14 RUE NEUVE,77127,Lieusaint,21-040605-1,2021-05-26T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.633297,2.553038",Boucherie-Charcuterie,Autres,48.633297,2.553038
8664,CENTRE DE PRODUCTION ET DE DISTRIBUTION AVICOLE BOULAJERI,30680889000017,ROUTE DE VILLEPATOUR,77220,Presles-en-Brie,21-034105-1,2021-04-29T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.710175,2.740262",Boucherie-Charcuterie,Autres,48.710175,2.740262
8732,SAINTEMARIE JEAN,34945029600018,3 rue du Moulin Bertin,77169,Saint-Germain-sous-Doue,21-031432-1,2021-04-16T02:00:00+02:00,Producteur fermier,Satisfaisant,,"48.848853,3.145513",Producteur fermier,Autres,48.848853,3.145513
8879,LES VIANDES DU LYS,78685046100025,252 RUE MARC SEGUIN,77190,Dammarie-les-Lys,21-039515-2,2021-05-07T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,77152011,"48.51164,2.612586",,Viandes et produits carnés,48.51164,2.612586
9388,OGUZ,43812179000036,20 RUE HENRY BECQUEREL,77290,Mitry-Mory,21-046463-1,2021-06-11T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Satisfaisant,77294016,"48.97932,2.642461",,Transport et entreposage de denrées alimentaires,48.97932,2.642461
9684,AS PROCESS,83049269000011,76 RUE DE COULOMMES,77860,Quincy-Voisins,21-031859-4,2021-04-22T02:00:00+02:00,"VH, VSM, préparation viandes boucherie",Très satisfaisant,77382001,"48.897834,2.884082",,Viandes et produits carnés,48.897834,2.884082
9715,RESIDENCE QUIETUDE,45343243700011,"420, rue des Ormes",77590,Chartrettes,21-036780-1,2021-04-08T02:00:00+02:00,Restauration collective,A améliorer,,"48.486909,2.68339",Restauration collective,Autres,48.486909,2.68339
9796,LA FROMAGERE,38148695000078,4 RUE DU CLOS GUIGNOT,77120,Coulommiers,21-062735-1,2021-07-05T02:00:00+02:00,Caves d'affinage,Très satisfaisant,,"48.803562,3.098121",,Lait et produits laitiers,48.803562,3.098121
9844,SARL LE CLOS ST NICOLAS,39286533300034,11 RUE DES RAGUINS,77124,Villenoy,20-080177-1,2020-12-03T01:00:00+01:00,Traiteur,Très satisfaisant,,"48.949773,2.864146",Traiteur,Autres,48.949773,2.864146
9899,AS PROCESS,83049269000011,76 RUE DE COULOMMES,77860,Quincy-Voisins,21-031859-1,2021-04-22T02:00:00+02:00,Découpe de viande de boucherie,Très satisfaisant,77382001,"48.897834,2.884082",,Viandes et produits carnés,48.897834,2.884082
9905,AS PROCESS,83049269000011,76 RUE DE COULOMMES,77860,Quincy-Voisins,21-031859-3,2021-04-22T02:00:00+02:00,Entreposage de viande de volailles,Très satisfaisant,,"48.897834,2.884082",,Transport et entreposage de denrées alimentaires,48.897834,2.884082
9911,AS PROCESS,83049269000011,76 RUE DE COULOMMES,77860,Quincy-Voisins,21-031859-2,2021-04-22T02:00:00+02:00,Entreposage de viande de boucherie,Très satisfaisant,,"48.897834,2.884082",,Transport et entreposage de denrées alimentaires,48.897834,2.884082
10690,BRIES DE SAINT REMY,85327313400033,19 AV DU GRAND MORIN,77169,Saint-Siméon,21-039533-1,2021-08-17T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,77436002,"48.798765,3.207114",,Lait et produits laitiers,48.798765,3.207114
10898,ACM DE MITRY,85354005200117,12 PL BELLEVUE,77290,Mitry-Mory,21-072248-1,2021-08-24T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.973551,2.63562",Restauration collective,Autres,48.973551,2.63562
11023,BONNY PARIS L'ESPRIT GOURMET,43020129300015,14 IMP DENIS PAPIN,77220,Gretz-Armainvilliers,21-039525-1,2021-07-27T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,77215001,"48.729724,2.731027",,Viandes et produits carnés,48.729724,2.731027
11111,IME,78457968200286,25 AVENUE DE SURVILLE,77130,Montereau-Fault-Yonne,20-095161-1,2021-02-25T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.392711,2.95337",Restauration collective,Autres,48.392711,2.95337
