,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
31843,LE PARIS FOOT,123 BD DAVOUT,75020,Paris 20e  Arrondissement,21-065159-1,2021-08-03T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.85728,2.409671
31847,RENARD GREGORY,120 RUE SAINT DOMINIQUE,75007,Paris 7e  Arrondissement,21-046284-1,2021-03-30T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.858058,2.301063
31854,ECRU,4 RUE AUDRAN,75018,Paris 18e  Arrondissement,21-030474-1,2021-04-16T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.885027,2.335901
31861,LES EXPLORATEURS DE LOURMEL,94 AV FELIX FAURE,75015,Paris 15e  Arrondissement,21-024771-1,2021-03-24T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.839425,2.283452
31863,THEVENIN PERE ET FILS,14 RUE DAGUERRE,75014,Paris 14e  Arrondissement,21-005205-1,2021-01-19T01:00:00+01:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.83389,2.329982
31866,LA POISSONNERIE DU PETIT BATEAU,85 BOULEVARD DE MAGENTA,75010,Paris 10e  Arrondissement,21-047308-1,2021-06-15T02:00:00+02:00,Poissonnerie,Très satisfaisant,,Poissonnerie,48.876421,2.355592
31869,LE VILLAGE D'AUTEUIL,48 RUE D AUTEUIL,75016,Paris 16e  Arrondissement,21-077713-1,2021-09-28T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.848217,2.264267
31878,CHOUETTES CRECHES,13 RUE CLAUDE DECAEN,75012,Paris 12e  Arrondissement,21-040413-1,2021-05-11T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.834248,2.401085
31882,CHRONO PIZZA,29 RUE DE WATTIGNIES,75012,Paris 12e  Arrondissement,21-037545-1,2021-05-10T02:00:00+02:00,Autres activités de remise directe,Satisfaisant,,,48.836236,2.39499
31888,LES PATES DE VICTOIRE,40 RUE RICHER,75009,Paris 9e  Arrondissement,20-085215-1,2020-12-03T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.874072,2.344146
31891,M30,171 BD VOLTAIRE,75011,Paris 11e  Arrondissement,21-095488-1,2021-10-15T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.854521,2.385946
31892,LE 975,25 RUE GUY MOQUET,75017,Paris 17e  Arrondissement,21-091521-1,2021-11-09T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.892037,2.322436
31898,HOPITAL BROCA,56 RUE PASCAL,75013,Paris 13e  Arrondissement,21-070502-1,2021-09-07T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.834691,2.347796
31904,LE RENOIR,38 RUE DE VAUGIRARD,75006,Paris 6e  Arrondissement,21-082310-1,2021-10-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.849246,2.335174
31909,LA MAISON DU CHOCOLAT,8 BD DE LA MADELEINE,75009,Paris 9e  Arrondissement,21-037643-1,2021-05-12T02:00:00+02:00,Chocolatier,Très satisfaisant,,Chocolatier,48.869961,2.326825
31923,PAUSE SUSHI,13 RUE DE WATTIGNIES,75012,Paris 12e  Arrondissement,21-037559-1,2021-05-10T02:00:00+02:00,Autres activités de remise directe,Satisfaisant,,,48.836739,2.393046
31925,VERLET,256 RUE SAINT HONORE,75001,Paris 1er Arrondissement,21-014407-1,2021-02-19T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.864113,2.333783
31932,CARREFOUR CITY,189 BD VOLTAIRE,75011,Paris 11e  Arrondissement,21-095442-1,2021-10-15T02:00:00+02:00,Libre service,Très satisfaisant,,Libre service,48.853619,2.387463
31938,JEFF DE BRUGES-MARTIAL,68 RUE DE LA CHAUSSEE D'ANTIN,75009,Paris 9e  Arrondissement,21-007614-1,2021-01-28T01:00:00+01:00,Métier de bouche,Très satisfaisant,,,48.875968,2.33209
31943,MONOPRIX,83  AVENUE D'ITALIE,75013,Paris 13e  Arrondissement,21-037814-1,2021-05-10T02:00:00+02:00,Rayon poissonnerie,Très satisfaisant,,Rayon poissonnerie,48.824399,2.358321
31949,LA CHOPE SAINT FARGEAU,185 AVENUE GAMBETTA,75020,Paris 20e  Arrondissement,21-090284-1,2021-11-05T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.872204,2.404425
31959,COURTANO,34 BOULEVARD ORNANO,75018,Paris 18e  Arrondissement,20-093912-1,2020-12-14T01:00:00+01:00,Libre service,Très satisfaisant,,Libre service,48.893755,2.348127
31962,L'ATELIER DES PAINS & CO,2 RUE MALLEVILLE,75008,Paris 8e  Arrondissement,21-059399-1,2021-07-23T02:00:00+02:00,Commerce alimentaire,Très satisfaisant,,,48.877448,2.31466
31963,MONOPRIX,"25, avenue des Ternes",75017,Paris 17e  Arrondissement,21-095654-1,2021-11-18T01:00:00+01:00,Rayon boucherie-charcuterie,Très satisfaisant,,Rayon boucherie-charcuterie,48.878234,2.29524
31969,RESTAURANT ESSENTIEL,33  RUE DE LONGCHAMP,75016,Paris 16e  Arrondissement,21-022335-1,2021-03-16T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.864936,2.289674
31976,COURTANO,34 BOULEVARD ORNANO,75018,Paris 18e  Arrondissement,20-093916-1,2020-12-14T01:00:00+01:00,Métier de bouche,Très satisfaisant,,,48.893755,2.348127
31979,LA PETITE CREPERIE,85 RUE ALBERT,75013,Paris 13e  Arrondissement,21-085422-1,2021-10-19T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.827203,2.370516
31983,MAIS OUI MADAME,100 BD DE MENILMONTANT,75020,Paris 20e  Arrondissement,21-081583-1,2021-10-05T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.869245,2.392594
31994,TABLE 17,02 RUE BRUNEL,75017,Paris 17e  Arrondissement,21-071067-1,2021-09-08T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.876116,2.289091
32000,BASILIC & SPICE,"88, AVENUE DE  CHOISY",75013,Paris 13e  Arrondissement,20-090890-1,2020-12-18T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.824714,2.361245
32008,CAMERONE,48 BD DE CLICHY,75018,Paris 18e  Arrondissement,21-030628-1,2021-04-16T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.883123,2.335583
32011,L'AS DU JAP,200 RUE DU FAUBOURG SAINT MARTIN,75010,Paris 10e  Arrondissement,21-039400-1,2021-05-20T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.879313,2.363203
32018,SUAN THAI,1 RUE DE BRETAGNE,75003,Paris 3e  Arrondissement,21-007485-1,2021-01-27T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.861922,2.364326
